Time,Q1,Q2,Q3,Q4,Q5,Q6
01/01/1998,3.54,3.69,3.80052865606028,3.9,4.00358535242787,4.10652031326921
01/04/1998,3.73333333333333,3.7,3.84105187731965,3.99666666666667,4.11012380633383,4.21696190192636
01/07/1998,3.55,3.63,3.67401723890194,3.71333333333333,3.76172623185048,3.81746035423746
01/10/1998,3.35,3.37,3.38327142860681,3.39666666666667,3.41921251247505,3.45448519627412
01/01/1999,3.03666666666667,3.01333333333333,3.02718137254902,3.05,3.06915441176471,3.09035947712418
01/04/1999,2.57666666666667,2.62333333333333,2.69598499301532,2.77333333333333,2.83724316083291,2.89717910592555
01/07/1999,2.64333333333333,2.98333333333333,3.12145633003838,3.22666666666667,3.34926211645746,3.47230706648071
01/10/1999,3.37333333333333,3.45,3.59243306429738,3.75666666666667,3.89500373680087,4.02778109937855
01/01/2000,2.33333333333333,2.47333333333333,2.60462119620187,2.72,2.816900597046,2.90539312330014
01/04/2000,4.21333333333333,4.38666666666667,4.53972256357433,4.66,4.74669207483326,4.82280036281475
01/07/2000,4.69333333333333,4.88666666666667,5.02877622549226,5.12666666666667,5.18739293466875,5.23842334933519
01/10/2000,4.95333333333333,4.98666666666667,5.01362302455525,5.03,5.03689762888627,5.0421497441952
01/01/2001,4.69,4.59,4.51559284441722,4.47666666666667,4.47375274122807,4.47203947368421
01/04/2001,4.53333333333333,4.44,4.3960204859976,4.37666666666667,4.3784375,4.38527777777778
01/07/2001,4.19,4.07666666666667,4.00650916240459,3.97333333333333,3.97682291666667,3.99236111111111
01/10/2001,3.36,3.24666666666667,3.22015162293011,3.22333333333333,3.25472857981221,3.31235133020344
01/01/2002,3.31,3.35333333333333,3.44969380203202,3.57333333333333,3.68359385134194,3.79578712711876
01/04/2002,3.39333333333333,3.52,3.67137069718594,3.81666666666667,3.93624563598172,4.04629241716894
01/07/2002,3.29,3.28333333333333,3.30453272570613,3.34,3.38608494004158,3.44577920596288
01/10/2002,2.99,2.91,2.89295248992045,2.88666666666667,2.90265625,2.94791666666667
01/01/2003,2.60666666666667,2.5,2.4533152173913,2.43333333333333,2.44088541666667,2.46597222222222
01/04/2003,2.28333333333333,2.19666666666667,2.15515086923211,2.13666666666667,2.14645833333333,2.17722222222222
01/07/2003,2.07333333333333,2.06,2.08396773119649,2.13,2.18923399179421,2.27265243715041
01/10/2003,2.07666666666667,2.11333333333333,2.19088458885154,2.29333333333333,2.39387378242952,2.50048039919661
01/01/2004,2.00333333333333,1.99,2.01466800054475,2.06333333333333,2.12147616544097,2.19871955446605
01/04/2004,2.03333333333333,2.06666666666667,2.13524592541752,2.22666666666667,2.3183959595526,2.41783344552824
01/07/2004,2.06,2.11333333333333,2.18783053831665,2.27333333333333,2.35899978719657,2.4479998108414
01/10/2004,2.1,2.13666666666667,2.18667770090225,2.24333333333333,2.29895990359797,2.35574213653153
01/01/2005,2.08,2.12333333333333,2.183349943142,2.25,2.31377870994632,2.37780329773006
01/04/2005,2.07666666666667,2.07666666666667,2.08855834444795,2.11,2.13771041267601,2.17389073719349
01/07/2005,2.08,2.09666666666667,2.1167376240269,2.14,2.16736879017773,2.1995129986765
01/10/2005,2.28,2.39333333333333,2.48963174245247,2.56666666666667,2.62510167479754,2.67703482204225
01/01/2006,2.56,2.68666666666667,2.79816111927471,2.88666666666667,2.95171204539508,3.00892922553637
01/04/2006,2.82666666666667,2.98666666666667,3.12642977072206,3.23666666666667,3.317128883305,3.38781826664149
01/07/2006,3.16333333333333,3.34,3.4668637822162,3.55,3.59494203587691,3.63207810596466
01/10/2006,3.53,3.65666666666667,3.74623501610819,3.79333333333333,3.79918339067278,3.80297782874618
01/01/2007,3.76333333333333,3.88,3.96762229741589,4.01666666666667,4.02659938948851,4.0331809388046
01/04/2007,4.01,4.13,4.24128550794961,4.31333333333333,4.33765273585063,4.35661724668205
