Date,ConvenienceYield_Baseline,ConvenienceYield_EADynamicsTarget,ConvenienceYield_USExcludingMatchedPrivilege,ConvenienceYield_Counterfactual,LongTermRate_Baseline,LongTermRate_USExcludingMatchedPrivilege,LongTermRate_Counterfactual,PolicyRate_Baseline,PolicyRate_USExcludingMatchedPrivilege,PolicyRate_Counterfactual,Inflation_Baseline,Inflation_USExcludingMatchedPrivilege,Inflation_Counterfactual,Output_Baseline,Output_USExcludingMatchedPrivilege,Output_Counterfactual,Forward5YearRealNaturalRate_Baseline,Forward5YearRealNaturalRate_USExcludingMatchedPrivilege,Forward5YearRealNaturalRate_Counterfactual
1999-03-31,0.1791195585050094,0.1791195585050094,0.1791195585050094,0.1791195585050094,1.402325,1.402325,1.402325,1.1825,1.1825,1.1825,0.250412353,0.250412353,0.250412353,4.352229384655081,4.352229384655081,4.352229384655081,0.6968982097876227,0.6968982097876227,0.6968982097876227
1999-06-30,0.26032208785066174,0.14914483154083957,0.14763010063445553,0.14914483154083957,1.5241,1.5169685082654645,1.5333480729065323,1.1875,1.0940829941716406,1.1017079250569068,0.346530948,0.34894339121905604,0.3528204310419964,4.078303029380001,3.7741128283735783,3.7958823795013976,0.6976376940282477,0.7051725113040875,0.7185264045660792
1999-09-30,0.20290128466060764,0.21415415032964752,0.12336955666147398,0.21415415032964752,1.5679,1.6203874565649663,1.722611252271919,1.275,1.1827165636249826,1.3010867816460148,0.36704772,0.384285551359375,0.4062390861736189,3.9694682821999603,3.649414290956776,4.014024967623922,0.6457336361581982,0.7012268913962098,0.773891022251189
1999-12-31,0.19571492265261375,0.19757285033701527,0.10456140496669343,0.19757285033701527,1.675225,1.7577230028671733,1.9413302256008498,1.325,1.2334634273706924,1.4399010484518129,0.469754548,0.4980181401114839,0.5425307053031752,4.448586991397647,4.105267912589899,4.732048512007036,0.6025658276733573,0.6843571046819805,0.8210580845691092
2000-03-31,0.1112018046848412,0.29055862003477856,0.08990146878252799,0.29055862003477856,1.542675,1.6064879594879835,1.8554650577753025,1.42,1.3833283897489765,1.74899504695531,0.522658661,0.5455702782750269,0.6057180597193579,4.321012573003515,4.136367042014604,5.252707961810261,0.659730967100026,0.7158659186679632,0.8904585849317133
2000-06-30,0.1920127623124338,0.346399462371902,0.07841973114175234,0.346399462371902,1.543425,1.5825109731190705,1.874171182837928,1.5675,1.4670557895158223,1.985218477267917,0.347373923,0.36712564223221184,0.43710202874359716,4.233874011283266,3.8322248455096415,5.42321505146552,0.6331892891561026,0.6802666595704938,0.8774398104905913
2000-09-30,0.18384727643845158,0.4333259262124378,0.06938671083232897,0.4333259262124378,1.4975,1.5511568779577847,1.8661915951942212,1.63,1.499999999797455,2.1819416645301977,0.482173247,0.5058370719870464,0.5789410548136453,4.150447939156903,3.636094356713064,5.74895993516465,0.6021836457686165,0.6634822462528011,0.864669712949839
2000-12-31,0.2066045639519894,0.42214302698906225,0.06224879578338993,0.42214302698906225,1.3357,1.377020411440448,1.698466377381669,1.6175,1.4459131805026784,2.2084055425856555,0.493119275,0.5158428660793197,0.5904086065459816,4.326676401102373,3.661022813223,6.038016829190891,0.6362026890033452,0.6906564245967763,0.8942398040328425
2001-03-31,0.38206828193992615,0.43587026086690717,0.0565827281078482,0.43587026086690717,1.317325,1.409565418848549,1.7050406556924225,1.4,1.0761731438339357,1.8856469366839899,0.648902385,0.69160341410138,0.7591018626416546,5.84527586852665,4.653882592986961,7.197141685136349,0.5940864125543377,0.7140612154766042,0.8924391164288878
2001-06-30,0.3315990276644071,0.427763136989759,0.052062995271567325,0.427763136989759,1.42275,1.5972314513070296,1.9069826207856269,1.0825,0.7461915552704581,1.5798709987487434,0.377356458,0.4445261015695456,0.5144775096196577,5.368889626191434,4.07817049578855,6.714051802902922,0.47781218430103534,0.6646718768621208,0.855327956180278
2001-09-30,0.345228842005541,0.3870641315151706,0.048438087656800966,0.3870641315151706,1.2614,1.4555216150144719,1.787749545898535,0.875,0.5253908104984257,1.347338249991578,0.256890976,0.334969446218061,0.412725426971703,4.997039999129998,3.60142320332461,6.208000946625288,0.4651559226575269,0.6695603043356625,0.8840388336304511
2001-12-31,0.3430888146468034,0.28943737155166227,0.04551296428044155,0.28943737155166227,1.37765,1.5947480670555758,1.8937596569690196,0.5325,0.18850556808596086,0.9122602108571667,0.481853125,0.5678803027166113,0.6434649740700127,4.618297942108967,3.178559696188487,5.475841730611027,0.4189501000794983,0.64026566026788,0.8405598465642554
2002-03-31,0.20735574285267586,0.14972136973095873,0.043135944845164864,0.14972136973095873,1.4562,1.7008435912064948,1.9514643305805675,0.4325,0.21346866006008713,0.7547516623614295,0.30696416,0.39640758365094614,0.466591162329878,4.764088751307687,3.6709165810459163,5.3821384915073684,0.43163220553720644,0.6571485098186636,0.8378515818243113
2002-06-30,0.017245057736087366,0.09457754954232794,0.04118881063155141,0.09457754954232794,1.310575,1.5490894811404647,1.9325073864180449,0.4375,0.43119477039430065,0.8864128266703202,0.547847222,0.6288943326951622,0.7345711249288374,3.719518591593282,3.278434724308158,4.675279229024138,0.43021742771703353,0.623675177797381,0.92529002033983
2002-09-30,-0.050254020874487944,0.09915255719122662,0.03957926623988602,0.09915255719122662,1.027525,1.3075045760916268,1.7219862887971762,0.435,0.5982451479452486,1.0289703322558432,0.532015502,0.6183352142672408,0.7394140312257568,2.9893216956210247,3.0758727521553437,4.343582280648543,0.3640271745642256,0.5793296063647435,0.9070225341347162
