Date,ConvenienceYield_Baseline_APR,ConvenienceYield_EADynamicsTarget_APR,ConvenienceYield_USExcludingMatchedPrivilege_APR,ConvenienceYield_Counterfactual_APR,LongRate_Baseline_APR,LongRate_USExcludingMatchedPrivilege_APR,LongRate_Counterfactual_APR,PolicyRate_Baseline_APR,PolicyRate_USExcludingMatchedPrivilege_APR,PolicyRate_Counterfactual_APR,CorePCEInflation_Baseline_YY,CorePCEInflation_USExcludingMatchedPrivilege_YY,CorePCEInflation_Counterfactual_YY,OutputGap_Baseline,OutputGap_USExcludingMatchedPrivilege,OutputGap_Counterfactual,Forward5YearRealNaturalRate_Baseline_APR,Forward5YearRealNaturalRate_USExcludingMatchedPrivilege_APR,Forward5YearRealNaturalRate_Counterfactual_APR
1998-12-31,0.8138320194988378,0.8138320194988378,0.8138320194988378,0.8138320194988378,5.0014,5.0014,5.0014,4.86,4.86,4.86,1.2726554540000001,1.2726554540000001,1.2726554540000001,4.720361676173246,4.720361676173246,4.720361676173246,2.893786349439925,2.893786349439925,2.893786349439925
1999-03-31,0.7164782340200376,0.4724584751309777,0.6628116956608887,0.4724584751309777,5.6093,5.69063318555869,5.345624345554138,4.73,4.704767769578093,4.414142700746599,1.2293208,1.2351184212281454,1.2159724097901752,4.352229384655081,4.327457465513187,4.106655778985369,2.787592839150491,2.8648481351118664,2.605196607779838
1999-06-30,1.041288351402647,0.35255956727429844,0.5501990576478157,0.35255956727429844,6.0964,6.151987083799746,5.8055811118932175,4.75,4.355028676574363,3.9214647046505666,1.270550181,1.2857225152544265,1.2437995153518546,4.078303029380001,3.7472907978498338,3.4211448722506423,2.790550776112991,2.8977271924192554,2.643041399516621
1999-09-30,0.8116051386424306,0.6125968424295302,0.4651572912286538,0.6125968424295302,6.2716,6.5683225513282295,6.501863704791134,5.1,4.72454188297469,4.616900464221263,1.282357741,1.321983277687032,1.2702172966029397,3.9694682821999603,3.629913420199826,3.564446309142002,2.582934544632793,2.8816040594006656,2.81649043119938
1999-12-31,0.782859690610455,0.5462716424590012,0.4002269100514964,0.5462716424590012,6.7009,7.119928284903983,7.32009176916136,5.3,4.945529869427407,5.101895436368467,1.433745569,1.5089177661967117,1.4653859366085455,4.448586991397647,4.0962574197003185,4.234025095761797,2.4102633106934293,2.8136898012603435,2.9597015476800097
2000-03-31,0.4448072187393648,0.9182147212500543,0.35017486552742594,0.9182147212500543,6.1707,6.516780298422216,6.924641234206998,5.68,5.562507534438538,6.284068519183722,1.705991877,1.8055845316460344,1.8009724981774866,4.321012573003515,4.138192567059407,4.720136553272272,2.638923868400104,2.9392175093075976,3.1953708402599217
2000-06-30,0.7680510492497352,1.1415780905985482,0.3112633830813143,1.1415780905985482,6.1737,6.422205540352864,6.952364801828648,6.27,5.913051826418625,7.183928807929761,1.706834852,1.8241177347526008,1.8681463529440328,4.233874011283266,3.844025345602533,4.8643584990053865,2.5327571566244105,2.7962577696847766,3.105286201157229
2000-09-30,0.7353891057538063,1.4892839459606915,0.28077839703914126,1.4892839459606915,5.99,6.297710708101674,6.8782077692487285,6.52,6.058160309554154,7.931935229046413,1.821960379,1.945763285222599,2.025240311958809,4.150447939156903,3.656573277410237,5.169456275945139,2.408734583074466,2.7285158125445146,3.020170801443229
2000-12-31,0.8264182558079576,1.4445523490671892,0.2567202346749986,1.4445523490671892,5.3428,5.6017325989481686,6.169723296225055,6.47,5.852865141994234,8.00366720595057,1.8453251060000002,1.9636020030130203,2.058866813523077,4.326676401102373,3.688807799377451,5.4421764764458755,2.544810756013381,2.8365772476204754,3.1082402058143215
2001-03-31,1.5282731277597046,1.4994612845785689,0.23759697948542646,1.4994612845785689,5.2693,5.732183842499302,6.162774716071739,5.6,4.382885617528637,6.682555064517268,1.9715688299999998,2.109606215164252,2.199326007904763,5.84527586852665,4.687684174027571,6.588499001177929,2.376345650217351,2.9295384840915655,3.0743909449828046
2001-06-30,1.3263961106576283,1.4670327890699761,0.2222837652890377,1.4670327890699761,5.691,6.482874679895342,6.941261488602657,4.33,3.0701371580930594,5.432960784119135,2.001551365,2.186945445360859,2.2650505055445156,5.368889626191434,4.11684308065993,6.095600556746147,1.9112487372041413,2.7313070727986,2.9025537260566066
2001-09-30,1.380915368022164,1.3042367671716226,0.20992510526625163,1.3042367671716226,5.0456,5.915862843352861,6.4386206898521365,3.5,2.1925813831689043,4.479562772212718,1.7762690939999999,2.015989887941987,2.088375123259778,4.997039999129998,3.643979539773042,5.58230097623922,1.8606236906301077,2.7501756964277,2.996932890243139
2001-12-31,1.3723552585872136,0.9137297273175893,0.199865819932747,0.9137297273175893,5.5106,6.472435458077945,6.84013868447783,2.13,0.8494074628609498,2.7188791075684877,1.765002944,2.067917155870642,2.1320637484743146,4.618297942108967,3.224164191074592,4.845076179738335,1.6758004003179932,2.632304991152025,2.805161157059791
2002-03-31,0.8294229714107034,0.35486572003477507,0.19160133414581726,0.35486572003477507,5.8248,6.896355883641876,7.0512544462754425,1.73,0.9525669039839975,2.0710592271777934,1.4230647189999999,1.7725928483640996,1.8311721948365987,4.764088751307687,3.7188700327433724,4.748153702317665,1.7265288221488257,2.6991403301567223,2.778779140902665
2002-06-30,0.06898023094434946,0.13429043928025186,0.18474134723580904,0.13429043928025186,5.2423,6.288776006388442,6.95820459110734,1.75,1.825906960932656,2.5822105843403707,1.593555483,1.956817745519329,2.043768020072397,3.719518591593282,3.3281565646759343,4.039619210295008,1.7208697108681341,2.564549439178509,3.1150129994980063
2002-09-30,-0.20101608349795178,0.15259046987584657,0.17898291219056153,0.15259046987584657,4.1101,5.321793174256089,6.1010716432228,1.74,2.495831551249669,3.1389648443608937,1.868680009,2.2400283019687444,2.3637436030953873,2.9893216956210247,3.1268836428648408,3.707521454527055,1.4561086982569025,2.3864699750056997,3.030200799036054
2002-12-31,-0.3977319844095121,0.10613845428767021,0.17409025356925112,0.10613845428767021,4.2487,5.435671571849438,5.530844610388319,1.44,2.6877542021508876,2.9996167562942646,1.7420715999999998,2.1102017734238627,2.235943478949884,2.1670185831886974,2.698481189003874,3.003031142164573,1.5644011508771194,2.4320386888652576,2.513508307407724
2003-03-31,-0.8707259038586499,0.23031121530326049,0.16987949036878192,0.23031121530326049,4.2158,5.096086021126498,4.882687190363233,1.25,3.07615156807266,3.224705599131565,1.743159861,2.078319727155346,2.185462276775248,1.6454473461822923,2.6699532949820632,2.8500003917810757,1.8168625929071507,2.3448671586177467,2.1595837002344083
2003-06-30,-0.34418082277799456,0.29533693670464145,0.1662069803349152,0.29533693670464145,3.8383,4.726860969408911,4.234932771703447,1.25,2.933155768157922,2.9531519224304255,1.573644991,1.8836356323385401,1.9149733666552016,1.8023120102097823,2.7444472170406673,2.841804783711133,1.7739934692516413,2.3629701181795824,1.9422438413144805
