Date,HLW_Target_Change,HLW_RealNaturalRate_Response,Country
2020-06-30,0.0,0.0,US
2020-09-30,-0.199555616,-0.6886559229934748,US
2020-12-31,-0.25080643599999985,-0.8910740403852763,US
2021-03-31,-0.276447244,-0.9458407537665018,US
2021-06-30,-0.236897821,-0.9023540335670743,US
2021-09-30,-0.6697303769999998,-1.3228045439312142,US
2021-12-31,-0.258863771,-0.988682300503017,US
2022-03-31,-0.6433290939999998,-1.2939309675800388,US
2022-06-30,-1.3867222339999998,-2.1167961523640964,US
2022-09-30,-1.2424393909999998,-2.141140706615856,US
2022-12-31,-1.575445015,-2.462380786737638,US
2023-03-31,-2.0998103109999997,-3.050837016716608,US
2023-06-30,-2.266984332,-3.3315929810569984,US
2023-09-30,-2.7807721429999996,-3.8916407478057256,US
2023-12-31,-2.765171069,-3.9748731259805767,US
2024-03-31,-2.916182923,-4.119310024120393,US
2024-06-30,-2.567518153,-3.775111487311133,US
2024-09-30,-2.3685365149999997,-3.4808934910048634,US
2020-03-31,0.0,0.0,EA
2020-06-30,0.049143001,-0.048758894800934816,EA
2020-09-30,0.020697452,-0.027068105443723456,EA
2020-12-31,0.125231284,-0.13747379295424927,EA
2021-03-31,0.128037742,-0.1601462859303088,EA
2021-06-30,-0.029723038,-0.02361688448998825,EA
2021-09-30,-0.089101455,0.03461202409225278,EA
2021-12-31,-0.040052373,-0.005623588316896161,EA
2022-03-31,-0.08949209,0.050728317359114206,EA
2022-06-30,-0.291422696,0.2686649630604395,EA
2022-09-30,-0.374379323,0.40219118814621335,EA
2022-12-31,-0.457214777,0.5589094686511562,EA
2023-03-31,-0.527431849,0.7186820605016842,EA
2023-06-30,-0.668180419,0.9642333616085952,EA
2023-09-30,-0.807003731,1.2374986127808356,EA
2023-12-31,-0.866347282,1.4613953724831863,EA
2024-03-31,-0.881295073,1.6545142426646118,EA
2024-06-30,-0.936417595,1.8952011605875012,EA
2024-09-30,-0.816869564,1.9700449510449771,EA
