x,Targeted_Path,Real_natural_rate,Zero_line,Output,Policy_rate,Ex_ante_real_rate,Inflation
2020-03-31,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-30,0.049143001,-1.217150003862279e-16,0.0,-0.40659598688366605,0.049143001,0.05098042619572799,0.032987175416762916
2020-09-30,0.020697452,3.303747436759924e-16,0.0,-0.3613545073919994,0.020697452,0.021909221728253103,0.013943631249200561
2020-12-31,0.125231284,3.3253178981268495e-17,0.0,-1.2453823765151433,0.12523128399999997,0.13049588643523452,0.08629979144898499
2021-03-31,0.128037742,9.337104305730726e-16,0.0,-1.6926945092609325,0.128037742,0.1344070224404698,0.08844045011871575
2021-06-30,-0.029723038,1.8256325214941345e-15,0.0,-0.6915142082406174,-0.029723038000000007,-0.02831947439361303,-0.012535312367659621
2021-09-30,-0.089101455,1.2790164887944208e-15,0.0,0.1853717268634063,-0.089101455,-0.0906119591564693,-0.04915870679297204
2021-12-31,-0.040052373,6.548099642741473e-16,0.0,0.2491010109233584,-0.040052373,-0.04097341012909118,-0.02091319430183229
2022-03-31,-0.08949209,8.455079553639648e-16,0.0,0.78738264421648,-0.08949209,-0.09280816696945064,-0.0593089193605772
2022-06-30,-0.291422696,7.921457250278117e-16,0.0,2.7551011447051565,-0.29142269600000004,-0.3030712270210557,-0.19599474158901062
2022-09-30,-0.374379323,-9.354589488519374e-16,0.0,4.442189261503051,-0.374379323,-0.39161562840719644,-0.25500716128103673
2022-12-31,-0.457214777,-2.531676155879358e-15,0.0,6.151536970886582,-0.457214777,-0.48046792694488905,-0.32203771583456753
2023-03-31,-0.527431849,-4.565662302800518e-15,0.0,7.799593579920818,-0.527431849,-0.5563946223571787,-0.38065895361941765
2023-06-30,-0.668180419,-6.70641634098472e-15,0.0,10.030023358715157,-0.668180419,-0.7055430525702919,-0.4871238173539183
2023-09-30,-0.807003731,-9.731342121948425e-15,0.0,12.5286606189434,-0.807003731,-0.8533723005836754,-0.5925116615256257
2023-12-31,-0.866347282,-1.3516984543227966e-14,0.0,14.56126096481258,-0.866347282,-0.9193578511911455,-0.6481381354791286
2024-03-31,-0.881295073,-1.7375693570938487e-14,0.0,16.06083394130713,-0.881295073,-0.939038828745701,-0.6763588882276711
2024-06-30,-0.936417595,-2.1060670346103704e-14,0.0,17.62029792610202,-0.936417595,-0.9997159873775585,-0.72985894865691
2024-09-30,-0.816869564,-2.5548823835944888e-14,0.0,17.70391422357385,-0.816869564,-0.8789898768849307,-0.663457619369929
