Date,PolicyRate,Inflation,Output,Forward5YearRealNaturalRate
1999-03-31,0.7105953113374043,0.6055612845113688,0.7154331183680265,0.163985976370011
1999-06-30,0.6469503749186964,0.5971830521565717,0.3134061138901921,0.13636121961473419
1999-09-30,0.6122090060146346,0.5927902464178191,0.08212497597041267,0.1373298171057944
1999-12-31,0.6363728752507808,0.594948469572794,0.20298108960709965,0.17289785953294962
2000-03-31,0.7164588496840935,0.6012014349179564,0.6617501901374623,0.22114576757490825
2000-06-30,0.800572198151717,0.608117400976548,1.1504035561279247,0.26216963393537596
2000-09-30,0.937068195461458,0.6182189659055634,1.9591104393824648,0.319763051610601
2000-12-31,1.0234981439041475,0.6253258567545646,2.4761788119204184,0.34735378546948165
2001-03-31,1.0954370497582342,0.6301780014884782,2.911777966657858,0.365959045077337
2001-06-30,1.1251768801566056,0.6308797336950248,3.0987924227754666,0.35608827243667046
2001-09-30,1.1192437719715673,0.6299446178130008,3.073375212697318,0.34979580854338455
2001-12-31,1.0515869477964828,0.6235430169237198,2.677202609688343,0.30709296427083715
2002-03-31,0.904208615426654,0.6093551787979341,1.79895196213793,0.21805151873273987
2002-06-30,0.7973255445001174,0.6010686664905984,1.154390022910317,0.18666624084186578
2002-09-30,0.7532973782787497,0.5982686123871845,0.8803518211380843,0.18500946314589808
2002-12-31,0.738616411577559,0.5946714106983947,0.7806008122931789,0.17315380411739784
2003-03-31,0.7200191841216631,0.5917581246760949,0.6572970348879819,0.16185125957467383
2003-06-30,0.6499767237370712,0.5842802864560708,0.22527664982287054,0.11716194697699932
2003-09-30,0.5564804465291977,0.5751539275676559,-0.3507278663152512,0.0708862203005364
2003-12-31,0.5158299785298117,0.5714516544514304,-0.6146644071125396,0.06547536023288261
2004-03-31,0.5000091589632312,0.5706009427489895,-0.731327186132915,0.06293685163261403
2004-06-30,0.49595915098680693,0.5690472396621887,-0.7771281706781015,0.055437837019378156
2004-09-30,0.4958661919907772,0.5688288012044105,-0.7984382704435474,0.05540910266606433
2004-12-31,0.4862099665080465,0.567727753139703,-0.8761088747536513,0.04639703221724706
2005-03-31,0.5118349590446704,0.5683497209545242,-0.7416094326684166,0.05624755288959801
2005-06-30,0.5127890616207844,0.5677043242134686,-0.7525140917909601,0.05187623815944936
2005-09-30,0.5338762079164767,0.5680380535736976,-0.6416078883266491,0.0618924570606304
2005-12-31,0.5470031043520022,0.5679619470747547,-0.5762466564537579,0.06845262853161871
2006-03-31,0.5662831133176397,0.5693526163064847,-0.47256986659911293,0.08601259753238501
2006-06-30,0.6379719938693167,0.5759199430425271,-0.05308400712089778,0.12631588688193945
2006-09-30,0.712046209162974,0.5834957265129908,0.3851413880198713,0.16490231297816849
2006-12-31,0.7657233459565185,0.5885943557976147,0.7056016336656932,0.17744749985041078
2007-03-31,0.8555277585037946,0.5958924034755761,1.24597608301004,0.2136006746280507
2007-06-30,0.8943053168977445,0.5997948139652259,1.4855001781712625,0.22408042397077613
2007-09-30,0.9901752755273562,0.6100082579936363,2.0688959473047994,0.28764529041512266
2007-12-31,1.0070110360690339,0.6148711066805159,2.1829991712312187,0.28772125086358175
2008-03-31,1.0926314876063663,0.6207771966268253,2.7102091451099097,0.3257338579548796
2008-06-30,1.0633037568742785,0.6194241874557163,2.5524197224997383,0.2900564269202463
2008-09-30,1.0633598952601315,0.6195583211619665,2.56824424587669,0.2975986569224661
