x,Targeted_Path,Real_natural_rate,Zero_line,Output,Policy_rate,Ex_ante_real_rate,Inflation
2020-03-31,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-30,-0.01541852,-9.799683445760048e-17,0.0,0.039770215665210634,-0.06167408,-0.016615440544364306,0.004420013084084525
2020-09-30,-0.035336805,-1.5200692798923981e-16,0.0,0.1142029542447404,-0.14134722,-0.038273476566377695,0.011651515118533452
2020-12-31,-0.040376946,-9.696026785046969e-17,0.0,0.17463894146014447,-0.161507784,-0.044184492025054735,0.01622178755780384
2021-03-31,-0.110822573,-5.229591683301339e-16,0.0,0.40064834035608327,-0.44329029200000003,-0.1206295085076245,0.039286642889329614
2021-06-30,-0.063457242,1.2510728379221542e-16,0.0,0.4189112506932317,-0.253828968,-0.07089244998119364,0.034821191716389296
2021-09-30,-0.09899105,-3.2920991984597717e-16,0.0,0.5487395372286594,-0.3959642,-0.10994536628748953,0.04723464707707934
2021-12-31,-0.164681819,-4.974805208822294e-16,0.0,0.8039881509402327,-0.658727276,-0.18147047663361182,0.0711588436592645
2022-03-31,-0.218677898,-4.897178008030409e-16,0.0,1.109592655939411,-0.874711592,-0.24119608343391774,0.09686991544282567
2022-06-30,-0.347007888,-9.988324588911322e-16,0.0,1.6511601740665616,-1.388031552,-0.38163129882970886,0.14658291644981475
2022-09-30,-0.439808309,-8.864657391132925e-16,0.0,2.2474690939007647,-1.759233236,-0.4850820593065209,0.19540124563906808
2022-12-31,-0.458139237,-4.56188259299123e-16,0.0,2.7119794958558474,-1.832556948,-0.5091960212224164,0.22633671235000002
2023-03-31,-0.585215152,-9.695824197035437e-16,0.0,3.3949782521915233,-2.340860608,-0.6500137276943977,0.2835556016449579
2023-06-30,-0.585572727,-4.9084735297808734e-17,0.0,3.868648711420341,-2.342290908,-0.6548197011907028,0.3112367255182962
2023-09-30,-0.647059485,-9.804306423755524e-17,0.0,4.399719627138554,-2.58823794,-0.7248545010915031,0.3488871972267643
2023-12-31,-0.580833764,1.11497118190522e-15,0.0,4.616738210511423,-2.323335056,-0.6567790754207861,0.3498818061646134
2024-03-31,-0.515005613,1.7629399582859652e-15,0.0,4.652773142813512,-2.060022452,-0.5874305266036227,0.33807390506662327
2024-06-30,-0.19059098,4.195655821758431e-15,0.0,3.8803758110382027,-0.76236392,-0.23737707001781677,0.2420144065595594
2024-09-30,-0.200230634,3.316455098087442e-15,0.0,3.4682063976842943,-0.800922536,-0.24247297229550385,0.20825092034701442
2024-12-31,-0.272551319,3.73274506472159e-15,0.0,3.3256248231513674,-1.090205276,-0.31422027248944306,0.19973310129542865
